Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KR,1-495,MUS,90,0,20,0,2,0,22,0,20,0,2,0,22
FA18,KR,1-495,MUS,101,79,11,0,0,0,90,158,22,0,0,0,180
FA18,KR,1-495,MUS,103,12,31,0,1,0,44,36,93,0,3,0,132
FA18,KR,1-495,MUS,106,3,2,0,0,0,5,6,4,0,0,0,10
FA18,KR,1-495,MUS,107,88,13,0,0,0,101,176,26,0,0,0,202
FA18,KR,1-495,MUS,108,0,0,0,6,4,10,0,0,0,12,8,20
FA18,KR,1-495,MUS,110,95,24,0,0,0,119,190,48,0,0,0,238
FA18,KR,1-495,MUS,120,1,1,0,0,0,2,1,1,0,0,0,2
FA18,KR,1-495,MUS,121,16,2,0,1,0,19,16,2,0,1,0,19
FA18,KR,1-495,MUS,123,6,0,0,0,0,6,6,0,0,0,0,6
FA18,KR,1-495,MUS,130,157,48,0,1,0,206,471,144,0,3,0,618
FA18,KR,1-495,MUS,133,305,176,0,0,0,481,915,528,0,0,0,"1,443.00"
FA18,KR,1-495,MUS,140,8,8,0,0,0,16,16,16,0,0,0,32
FA18,KR,1-495,MUS,144,7,4,0,0,0,11,3.5,2,0,0,0,5.5
FA18,KR,1-495,MUS,146,4,6,0,0,0,10,2,3,0,0,0,5
FA18,KR,1-495,MUS,147,10,1,0,1,0,12,5,0.5,0,0.5,0,6
FA18,KR,1-495,MUS,148,10,2,0,0,0,12,5,1,0,0,0,6
FA18,KR,1-495,MUS,149,10,1,0,0,0,11,5,0.5,0,0,0,5.5
FA18,KR,1-495,MUS,151,5,3,0,0,0,8,2.5,1.5,0,0,0,4
FA18,KR,1-495,MUS,153,8,6,0,0,0,14,4,3,0,0,0,7
FA18,KR,1-495,MUS,154,8,4,0,0,0,12,4,2,0,0,0,6
FA18,KR,1-495,MUS,155,2,3,0,0,0,5,1,1.5,0,0,0,2.5
FA18,KR,1-495,MUS,158,9,6,0,1,0,16,18,12,0,2,0,32
FA18,KR,1-495,MUS,163,3,3,0,0,0,6,6,6,0,0,0,12
FA18,KR,1-495,MUS,165,18,21,0,1,0,40,38,50,0,2,0,90
FA18,KR,1-495,MUS,166,2,4,0,0,1,7,4,8,0,0,2,14
FA18,KR,1-495,MUS,169,223,32,1,0,0,256,230,33,1,0,0,264
FA18,KR,1-495,MUS,172,69,7,0,0,0,76,138,14,0,0,0,152
FA18,KR,1-495,MUS,174,5,6,0,0,0,11,10,12,0,0,0,22
FA18,KR,1-495,MUS,178,2,15,0,1,0,18,6,46,0,4,0,56
FA18,KR,1-495,MUS,179,0,2,0,0,0,2,0,4,0,0,0,4
FA18,KR,1-495,MUS,180,14,19,0,2,1,36,38,48,0,4,2,92
FA18,KR,1-495,MUS,181,60,27,0,1,0,88,136,58,0,3,0,197
FA18,KR,1-495,MUS,182,2,0,0,0,0,2,4,0,0,0,0,4
FA18,KR,1-495,MUS,183,14,7,0,0,1,22,39,17,0,0,2,58
FA18,KR,1-495,MUS,184,4,4,0,0,0,8,8,14,0,0,0,22
FA18,KR,1-495,MUS,185,3,3,0,0,0,6,7,8,0,0,0,15
FA18,KR,1-495,MUS,186,2,5,0,0,0,7,4,10,0,0,0,14
FA18,KR,1-495,MUS,187,1,2,0,0,2,5,4,6,0,0,4,14
FA18,KR,1-495,MUS,188,9,1,0,0,0,10,26,2,0,0,0,28
FA18,KR,1-495,MUS,189,10,3,0,0,0,13,20,6,0,0,0,26
FA18,KR,1-495,MUS,190,8,2,0,0,0,10,26,6,0,0,0,32
FA18,KR,1-495,MUS,191,2,3,0,0,0,5,6,8,0,0,0,14
FA18,KR,1-495,MUS,192,5,3,0,1,0,9,12,6,0,2,0,20
FA18,KR,1-495,MUS,193,9,9,0,0,0,18,21,21,0,0,0,42
FA18,KR,1-495,MUS,194,5,3,0,0,0,8,12,6,0,0,0,18
FA18,KR,1-495,MUS,195,7,4,0,0,0,11,15,8,0,0,0,23
FA18,KR,1-495,MUS,196,2,6,0,0,0,8,4,15,0,0,0,19
FA18,KR,1-495,MUS,197,2,0,0,0,0,2,6,0,0,0,0,6
FA18,KR,1-495,MUS,198,5,2,0,0,0,7,14,4,0,0,0,18
FA18,KR,1-495,MUS,199,9,29,0,0,0,38,16,46,0,0,0,62
FA18,KR,1-495,MUS,201,49,30,0,0,0,79,98,60,0,0,0,158
FA18,KR,1-495,MUS,206,2,2,0,0,0,4,4,4,0,0,0,8
FA18,KR,1-495,MUS,207,48,37,0,0,0,85,96,74,0,0,0,170
FA18,KR,1-495,MUS,222,5,2,0,1,0,8,5,2,0,1,0,8
FA18,KR,1-495,MUS,242,4,9,0,0,0,13,8,18,0,0,0,26
FA18,KR,1-495,MUS,243,20,7,0,1,0,28,40,14,0,2,0,56
FA18,KR,1-495,MUS,250,91,95,0,0,0,186,91,95,0,0,0,186
FA18,KR,1-495,MUS,252,2,3,0,0,0,5,2,3,0,0,0,5
FA18,KR,1-495,MUS,256,13,13,0,0,0,26,13,13,0,0,0,26
FA18,KR,1-495,MUS,257,5,6,0,0,0,11,5,6,0,0,0,11
FA18,KR,1-495,MUS,258,3,3,0,0,0,6,3,3,0,0,0,6
FA18,KR,1-495,MUS,260,3,1,0,0,0,4,3,1,0,0,0,4
FA18,KR,1-495,MUS,261,70,53,0,0,0,123,70,53,0,0,0,123
FA18,KR,1-495,MUS,262,33,38,0,0,0,71,33,38,0,0,0,71
FA18,KR,1-495,MUS,263,24,22,0,0,0,46,24,22,0,0,0,46
FA18,KR,1-495,MUS,266,54,46,0,0,0,100,54,46,0,0,0,100
FA18,KR,1-495,MUS,267,16,31,0,1,0,48,16,31,0,1,0,48
FA18,KR,1-495,MUS,268,10,19,0,0,0,29,10,19,0,0,0,29
FA18,KR,1-495,MUS,269,29,28,0,0,0,57,29,28,0,0,0,57
FA18,KR,1-495,MUS,271,26,16,0,1,0,43,26,16,0,1,0,43
FA18,KR,1-495,MUS,272,64,39,0,0,0,103,64,39,0,0,0,103
FA18,KR,1-495,MUS,273,156,185,0,2,0,343,342.5,415.5,0,5,0,763
FA18,KR,1-495,MUS,274,25,22,0,1,0,48,25,22,0,1,0,48
FA18,KR,1-495,MUS,313,60,46,0,0,0,106,180,138,0,0,0,318
FA18,KR,1-495,MUS,317,0,3,0,0,0,3,0,9,0,0,0,9
FA18,KR,1-495,MUS,320,0,22,0,0,0,22,0,23,0,0,0,23
FA18,KR,1-495,MUS,330,0,8,0,1,0,9,0,16,0,2,0,18
FA18,KR,1-495,MUS,333,0,19,0,0,0,19,0,57,0,0,0,57
FA18,KR,1-495,MUS,335,0,16,0,0,0,16,0,32,0,0,0,32
FA18,KR,1-495,MUS,343,20,8,0,1,0,29,60,24,0,3,0,87
FA18,KR,1-495,MUS,345,0,12,0,0,0,12,0,24,0,0,0,24
FA18,KR,1-495,MUS,346,0,9,0,0,0,9,0,18,0,0,0,18
FA18,KR,1-495,MUS,348,0,12,0,1,0,13,0,12,0,1,0,13
FA18,KR,1-495,MUS,350,0,19,0,3,0,22,0,95,0,15,0,110
FA18,KR,1-495,MUS,360,3,4,0,0,0,7,6,8,0,0,0,14
FA18,KR,1-495,MUS,362,1,8,0,0,0,9,3,24,0,0,0,27
FA18,KR,1-495,MUS,364,0,8,0,0,0,8,0,16,0,0,0,16
FA18,KR,1-495,MUS,368,0,8,0,0,0,8,0,16,0,0,0,16
FA18,KR,1-495,MUS,404,0,3,0,2,3,8,0,6,0,4,6,16
FA18,KR,1-495,MUS,406,1,6,0,0,0,7,3,18,0,0,0,21
FA18,KR,1-495,MUS,407,2,32,0,1,1,36,6,96,0,3,3,108
FA18,KR,1-495,MUS,408,2,32,0,8,25,67,6,96,0,24,75,201
