Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KM,1-230,MBA,501,0,0,0,239,0,239,0,0,0,478,0,478
FA18,KM,1-230,MBA,502,0,0,0,237,0,237,0,0,0,474,0,474
FA18,KM,1-230,MBA,530,0,0,0,2,0,2,0,0,0,8,0,8
FA18,KM,1-230,MBA,531,0,0,0,12,0,12,0,0,0,48,0,48
FA18,KM,1-260,FIN,221,267,462,0,0,0,729,801,"1,386.00",0,0,0,"2,187.00"
FA18,KM,1-260,FIN,241,15,77,0,0,0,92,45,231,0,0,0,276
FA18,KM,1-260,FIN,300,41,285,0,0,0,326,123,855,0,0,0,978
FA18,KM,1-260,FIN,321,21,237,0,0,0,258,63,711,0,0,0,774
FA18,KM,1-260,FIN,390,0,25,0,0,0,25,0,25,0,0,0,25
FA18,KM,1-260,FIN,391,0,40,0,0,0,40,0,40,0,0,0,40
FA18,KM,1-260,FIN,392,2,27,0,0,0,29,2,27,0,0,0,29
FA18,KM,1-260,FIN,411,11,79,0,0,0,90,33,237,0,0,0,270
FA18,KM,1-260,FIN,412,16,43,0,0,0,59,48,129,0,0,0,177
FA18,KM,1-260,FIN,415,0,5,0,0,0,5,0,15,0,0,0,15
FA18,KM,1-260,FIN,418,0,9,0,0,0,9,0,27,0,0,0,27
FA18,KM,1-260,FIN,419,0,2,0,0,0,2,0,6,0,0,0,6
FA18,KM,1-260,FIN,423,0,115,0,2,0,117,0,345,0,7,0,352
FA18,KM,1-260,FIN,424,10,26,0,0,0,36,30,78,0,0,0,108
FA18,KM,1-260,FIN,435,0,131,0,0,0,131,0,393,0,0,0,393
FA18,KM,1-260,FIN,443,0,25,0,0,0,25,0,75,0,0,0,75
FA18,KM,1-260,FIN,444,0,34,0,0,0,34,0,102,0,0,0,102
FA18,KM,1-260,FIN,445,14,71,0,0,0,85,42,213,0,0,0,255
FA18,KM,1-260,FIN,447,0,42,1,6,0,49,0,126,4,24,0,154
FA18,KM,1-260,FIN,463,0,40,0,0,0,40,0,120,0,0,0,120
FA18,KM,1-260,FIN,490,6,22,0,0,0,28,16,38,0,0,0,54
FA18,KM,1-260,FIN,500,0,0,0,67,0,67,0,0,0,268,0,268
FA18,KM,1-260,FIN,501,0,0,0,131,0,131,0,0,0,524,0,524
FA18,KM,1-260,FIN,511,0,0,0,746,0,746,0,0,0,"2,984.00",0,"2,984.00"
FA18,KM,1-260,FIN,512,0,0,0,92,0,92,0,0,0,368,0,368
FA18,KM,1-260,FIN,514,0,0,0,14,0,14,0,0,0,56,0,56
FA18,KM,1-260,FIN,515,0,0,0,10,0,10,0,0,0,40,0,40
FA18,KM,1-260,FIN,516,0,0,0,50,0,50,0,0,0,200,0,200
FA18,KM,1-260,FIN,518,0,0,0,10,0,10,0,0,0,40,0,40
FA18,KM,1-260,FIN,519,0,0,0,0,7,7,0,0,0,0,28,28
FA18,KM,1-260,FIN,520,0,0,0,44,0,44,0,0,0,176,0,176
FA18,KM,1-260,FIN,521,0,0,0,46,2,48,0,0,0,184,8,192
FA18,KM,1-260,FIN,522,0,0,0,46,0,46,0,0,0,184,0,184
FA18,KM,1-260,FIN,527,0,0,0,39,0,39,0,0,0,78,0,78
FA18,KM,1-260,FIN,541,0,0,1,41,0,42,0,0,4,164,0,168
FA18,KM,1-260,FIN,544,0,0,0,10,0,10,0,0,0,40,0,40
FA18,KM,1-260,FIN,545,0,0,0,42,0,42,0,0,0,168,0,168
FA18,KM,1-260,FIN,562,0,0,0,2,0,2,0,0,0,8,0,8
FA18,KM,1-260,FIN,563,0,0,0,18,0,18,0,0,0,72,0,72
FA18,KM,1-260,FIN,566,0,0,0,36,0,36,0,0,0,144,0,144
FA18,KM,1-260,FIN,568,0,0,0,47,0,47,0,0,0,94,0,94
FA18,KM,1-260,FIN,570,0,0,0,14,0,14,0,0,0,56,0,56
FA18,KM,1-260,FIN,579,0,0,0,19,0,19,0,0,0,76,0,76
FA18,KM,1-260,FIN,580,0,0,1,621,17,639,0,0,4,"1,826.00",66,"1,896.00"
FA18,KM,1-260,FIN,590,0,0,0,26,6,32,0,0,0,52,22,74
FA18,KM,1-260,FIN,591,0,0,0,4,6,10,0,0,0,16,24,40
FA18,KM,1-260,FIN,592,0,0,0,3,5,8,0,0,0,12,20,32
FA18,KM,1-260,FIN,594,0,0,0,2,6,8,0,0,0,8,24,32
FA18,KM,1-260,FIN,599,0,0,0,0,13,13,0,0,0,0,152,152
FA18,KM,1-346,ACCY,199,3,18,0,0,0,21,3,20,0,0,0,23
FA18,KM,1-346,ACCY,200,15,279,0,0,0,294,45,837,0,0,0,882
FA18,KM,1-346,ACCY,201,469,166,0,0,0,635,"1,407.00",498,0,0,0,"1,905.00"
FA18,KM,1-346,ACCY,202,82,174,0,0,0,256,246,522,0,0,0,768
FA18,KM,1-346,ACCY,301,10,207,0,0,0,217,30,621,0,0,0,651
FA18,KM,1-346,ACCY,302,23,198,0,0,0,221,69,594,0,0,0,663
FA18,KM,1-346,ACCY,303,0,228,0,0,0,228,0,684,0,0,0,684
FA18,KM,1-346,ACCY,304,0,211,0,0,0,211,0,633,0,0,0,633
FA18,KM,1-346,ACCY,312,0,214,0,0,0,214,0,642,0,0,0,642
FA18,KM,1-346,ACCY,398,2,22,0,7,0,31,16,148,0,24,0,188
FA18,KM,1-346,ACCY,405,0,71,0,1,0,72,0,213,0,3,0,216
FA18,KM,1-346,ACCY,410,0,133,0,27,0,160,0,399,0,108,0,507
FA18,KM,1-346,ACCY,415,0,108,0,0,0,108,0,324,0,0,0,324
FA18,KM,1-346,ACCY,451,0,65,0,98,0,163,0,196,0,392,0,588
FA18,KM,1-346,ACCY,500,0,0,0,891,0,891,0,0,0,"3,534.00",0,"3,534.00"
FA18,KM,1-346,ACCY,501,0,0,0,367,0,367,0,0,0,808,0,808
FA18,KM,1-346,ACCY,502,0,0,0,110,0,110,0,0,0,440,0,440
FA18,KM,1-346,ACCY,503,0,0,0,42,0,42,0,0,0,168,0,168
FA18,KM,1-346,ACCY,504,0,0,0,161,0,161,0,0,0,540,0,540
FA18,KM,1-346,ACCY,505,0,0,0,382,0,382,0,0,0,"1,092.00",0,"1,092.00"
FA18,KM,1-346,ACCY,510,0,0,0,146,0,146,0,0,0,584,0,584
FA18,KM,1-346,ACCY,512,0,0,0,109,0,109,0,0,0,436,0,436
FA18,KM,1-346,ACCY,515,0,0,0,91,0,91,0,0,0,364,0,364
FA18,KM,1-346,ACCY,517,0,0,0,65,0,65,0,0,0,260,0,260
FA18,KM,1-346,ACCY,518,0,0,0,159,0,159,0,0,0,636,0,636
FA18,KM,1-346,ACCY,551,0,0,0,40,0,40,0,0,0,160,0,160
FA18,KM,1-346,ACCY,556,0,0,0,50,0,50,0,0,0,200,0,200
FA18,KM,1-346,ACCY,570,0,0,0,262,0,262,0,0,0,946,0,946
FA18,KM,1-346,ACCY,585,0,0,0,0,2,2,0,0,0,0,8,8
FA18,KM,1-346,ACCY,592,0,1,0,7,4,12,0,4,0,28,16,48
FA18,KM,1-346,ACCY,593,0,0,0,2,2,4,0,0,0,8,8,16
FA18,KM,1-346,ACCY,594,0,0,0,0,3,3,0,0,0,0,12,12
FA18,KM,1-346,ACCY,599,0,0,0,0,12,12,0,0,0,0,103,103
FA18,KM,1-902,BADM,199,26,108,0,0,0,134,52,220,0,0,0,272
FA18,KM,1-902,BADM,210,23,57,0,0,0,80,69,171,0,0,0,240
FA18,KM,1-902,BADM,261,25,40,0,0,0,65,25,40,0,0,0,65
FA18,KM,1-902,BADM,300,13,398,0,0,0,411,39,"1,194.00",0,0,0,"1,233.00"
FA18,KM,1-902,BADM,310,263,335,0,0,0,598,789,"1,005.00",0,0,0,"1,794.00"
