Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KY,1-294,IHLT,101,70,14,0,0,0,84,70,14,0,0,0,84
FA18,KY,1-294,IHLT,102,79,23,0,0,0,102,79,23,0,0,0,102
FA18,KY,1-294,IHLT,230,18,22,0,0,0,40,54,66,0,0,0,120
FA18,KY,1-294,IHLT,240,18,22,0,0,0,40,54,66,0,0,0,120
FA18,KY,1-294,IHLT,375,0,40,0,0,0,40,0,160,0,0,0,160
FA18,KY,1-294,IHLT,474,0,42,0,0,0,42,0,42,0,0,0,42
FA18,KY,1-294,IHLT,475,0,24,0,0,0,24,0,96,0,0,0,96
FA18,KY,1-581,CHLH,100,349,374,0,0,0,723,"1,047.00","1,122.00",0,0,0,"2,169.00"
FA18,KY,1-581,CHLH,101,276,37,0,0,0,313,828,111,0,0,0,939
FA18,KY,1-581,CHLH,125,94,48,0,0,0,142,94,48,0,0,0,142
FA18,KY,1-581,CHLH,199,45,18,0,0,0,63,134,53,0,0,0,187
FA18,KY,1-581,CHLH,200,38,61,0,0,0,99,76,122,0,0,0,198
FA18,KY,1-581,CHLH,201,29,49,0,0,0,78,87,147,0,0,0,234
FA18,KY,1-581,CHLH,206,212,571,0,1,0,784,424,"1,142.00",0,2,0,"1,568.00"
FA18,KY,1-581,CHLH,210,52,54,0,0,0,106,104,108,0,0,0,212
FA18,KY,1-581,CHLH,243,416,791,0,2,0,"1,209.00",832,"1,582.00",0,4,0,"2,418.00"
FA18,KY,1-581,CHLH,244,16,25,0,0,0,41,48,75,0,0,0,123
FA18,KY,1-581,CHLH,250,37,69,0,0,0,106,111,207,0,0,0,318
FA18,KY,1-581,CHLH,260,154,127,0,0,0,281,462,381,0,0,0,843
FA18,KY,1-581,CHLH,274,107,204,0,0,0,311,321,612,0,0,0,933
FA18,KY,1-581,CHLH,304,28,170,0,0,0,198,112,680,0,0,0,792
FA18,KY,1-581,CHLH,380,3,100,0,0,0,103,3,100,0,0,0,103
FA18,KY,1-581,CHLH,393,3,47,0,0,0,50,7,120,0,0,0,127
FA18,KY,1-581,CHLH,404,3,48,0,3,1,55,9,144,0,12,4,169
FA18,KY,1-581,CHLH,410,4,98,0,6,0,108,16,392,0,24,0,432
FA18,KY,1-581,CHLH,415,3,9,0,1,1,14,9,27,0,4,4,44
FA18,KY,1-581,CHLH,421,0,102,0,1,0,103,0,306,0,4,0,310
FA18,KY,1-581,CHLH,429,0,0,0,9,2,11,0,0,0,36,8,44
FA18,KY,1-581,CHLH,455,5,82,0,0,0,87,15,246,0,0,0,261
FA18,KY,1-581,CHLH,456,4,94,0,4,0,102,12,282,0,16,0,310
FA18,KY,1-581,CHLH,457,5,80,0,0,0,85,15,240,0,0,0,255
FA18,KY,1-581,CHLH,458,6,88,0,0,0,94,18,264,0,0,0,282
FA18,KY,1-581,CHLH,485,0,86,0,0,0,86,0,688,0,0,0,688
FA18,KY,1-581,CHLH,494,3,10,0,8,11,32,9,30,0,32,44,115
FA18,KY,1-581,CHLH,540,0,0,0,12,0,12,0,0,0,48,0,48
FA18,KY,1-581,CHLH,573,0,0,0,24,4,28,0,0,0,96,16,112
FA18,KY,1-581,CHLH,575,0,0,0,16,2,18,0,0,0,64,8,72
FA18,KY,1-581,CHLH,579,0,0,0,15,1,16,0,0,0,60,4,64
FA18,KY,1-581,CHLH,587,0,0,0,8,0,8,0,0,0,32,0,32
FA18,KY,1-581,CHLH,589,0,0,0,3,0,3,0,0,0,6,0,6
FA18,KY,1-581,CHLH,591,0,0,0,24,18,42,0,0,0,24,18,42
FA18,KY,1-581,CHLH,593,0,0,0,10,1,11,0,0,0,39,3,42
FA18,KY,1-581,CHLH,594,0,0,0,26,2,28,0,0,0,68,8,76
FA18,KY,1-581,CHLH,599,0,0,0,4,15,19,0,0,0,15,133,148
FA18,KY,1-581,KIN,100,88,43,0,3,0,134,88,43,0,3,0,134
FA18,KY,1-581,KIN,101,23,14,0,0,1,38,23,14,0,0,1,38
FA18,KY,1-581,KIN,102,17,97,0,4,1,119,17,97,0,4,1,119
FA18,KY,1-581,KIN,103,3,72,0,3,2,80,3,72,0,3,2,80
FA18,KY,1-581,KIN,104,189,255,0,23,9,476,189,255,0,23,9,476
FA18,KY,1-581,KIN,107,24,21,0,3,1,49,24,21,0,3,1,49
FA18,KY,1-581,KIN,109,21,63,0,1,2,87,21,63,0,1,2,87
FA18,KY,1-581,KIN,111,12,8,0,0,0,20,12,8,0,0,0,20
FA18,KY,1-581,KIN,122,403,276,0,1,0,680,"1,209.00",828,0,3,0,"2,040.00"
FA18,KY,1-581,KIN,125,75,31,0,0,0,106,75,31,0,0,0,106
FA18,KY,1-581,KIN,140,99,30,0,0,0,129,297,90,0,0,0,387
FA18,KY,1-581,KIN,142,130,364,0,1,0,495,390,"1,092.00",0,3,0,"1,485.00"
FA18,KY,1-581,KIN,150,86,30,0,0,0,116,258,90,0,0,0,348
FA18,KY,1-581,KIN,160,21,1,0,0,0,22,63,3,0,0,0,66
FA18,KY,1-581,KIN,199,1,2,0,0,0,3,3,4,0,0,0,7
FA18,KY,1-581,KIN,201,35,65,0,0,0,100,105,195,0,0,0,300
FA18,KY,1-581,KIN,247,116,430,0,0,0,546,348,"1,290.00",0,0,0,"1,638.00"
FA18,KY,1-581,KIN,249,228,383,0,0,0,611,684,"1,149.00",0,0,0,"1,833.00"
FA18,KY,1-581,KIN,257,0,6,0,0,0,6,0,18,0,0,0,18
FA18,KY,1-581,KIN,259,59,59,0,0,0,118,177,177,0,0,0,354
FA18,KY,1-581,KIN,260,2,4,0,0,0,6,6,12,0,0,0,18
FA18,KY,1-581,KIN,262,30,17,0,1,0,48,90,51,0,3,0,144
FA18,KY,1-581,KIN,268,38,9,0,0,0,47,114,27,0,0,0,141
FA18,KY,1-581,KIN,340,28,107,0,0,0,135,84,321,0,0,0,405
FA18,KY,1-581,KIN,352,4,81,0,0,0,85,12,243,0,0,0,255
FA18,KY,1-581,KIN,355,3,102,0,0,0,105,9,306,0,0,0,315
FA18,KY,1-581,KIN,360,0,5,0,1,0,6,0,15,0,3,0,18
FA18,KY,1-581,KIN,361,0,6,0,1,0,7,0,18,0,3,0,21
FA18,KY,1-581,KIN,364,0,12,0,0,0,12,0,36,0,0,0,36
FA18,KY,1-581,KIN,369,9,34,0,0,0,43,27,102,0,0,0,129
FA18,KY,1-581,KIN,385,16,94,0,0,0,110,48,282,0,0,0,330
FA18,KY,1-581,KIN,386,1,5,0,0,0,6,3,15,0,0,0,18
FA18,KY,1-581,KIN,387,0,21,0,0,0,21,0,63,0,0,0,63
FA18,KY,1-581,KIN,391,0,21,0,0,0,21,0,45,0,0,0,45
FA18,KY,1-581,KIN,393,0,2,0,0,0,2,0,6,0,0,0,6
FA18,KY,1-581,KIN,401,1,19,0,1,1,22,3,57,0,4,4,68
FA18,KY,1-581,KIN,448,4,71,0,7,6,88,12,213,0,28,24,277
FA18,KY,1-581,KIN,453,0,62,0,6,7,75,0,186,0,24,28,238
FA18,KY,1-581,KIN,457,0,14,0,0,2,16,0,42,0,0,8,50
FA18,KY,1-581,KIN,460,0,25,0,0,1,26,0,75,0,0,4,79
FA18,KY,1-581,KIN,485,1,7,0,1,0,9,2,37,0,4,0,43
FA18,KY,1-581,KIN,494,1,18,0,7,12,38,3,54,0,28,48,133
FA18,KY,1-581,KIN,501,0,0,0,5,4,9,0,0,0,20,16,36
FA18,KY,1-581,KIN,565,0,0,0,0,14,14,0,0,0,0,56,56
FA18,KY,1-581,KIN,590,0,0,0,8,13,21,0,0,0,32,50,82
FA18,KY,1-581,KIN,591,0,0,0,18,48,66,0,0,0,18,48,66
FA18,KY,1-581,KIN,599,0,0,0,3,26,29,0,0,0,20,200,220
