Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KN,1-335,EDUC,101,131,0,0,0,0,131,131,0,0,0,0,131
FA18,KN,1-335,EDUC,102,22,0,0,0,0,22,22,0,0,0,0,22
FA18,KN,1-335,EDUC,201,142,26,0,0,0,168,426,78,0,0,0,504
FA18,KN,1-335,EDUC,202,63,45,0,0,0,108,189,135,0,0,0,324
FA18,KN,1-541,EDPR,203,0,0,0,0,0,0,30,174,0,36,0,240
FA18,KN,1-541,EDPR,250,0,138,0,0,0,138,0,492,0,0,0,492
FA18,KN,1-541,EDPR,420,0,39,0,4,0,43,0,186,0,8,0,194
FA18,KN,1-541,EDPR,438,0,28,0,14,0,42,0,128,0,58,0,186
FA18,KN,1-541,EDPR,442,0,16,0,8,0,24,0,114,0,40,0,154
FA18,KN,1-541,EDPR,550,0,0,0,3,0,3,0,0,0,12,0,12
FA18,KN,1-570,SPED,117,224,465,0,0,0,689,672,"1,395.00",0,0,0,"2,067.00"
FA18,KN,1-570,SPED,199,0,6,0,0,0,6,0,12,0,0,0,12
FA18,KN,1-570,SPED,405,0,176,0,3,0,179,0,528,0,9,0,537
FA18,KN,1-570,SPED,414,0,12,0,4,0,16,0,36,0,12,0,48
FA18,KN,1-570,SPED,431,0,26,0,3,0,29,0,52,0,6,0,58
FA18,KN,1-570,SPED,432,0,0,0,14,0,14,0,0,0,42,0,42
FA18,KN,1-570,SPED,440,0,26,0,18,0,44,0,104,0,72,0,176
FA18,KN,1-570,SPED,444,0,27,0,3,0,30,0,81,0,9,0,90
FA18,KN,1-570,SPED,446,0,26,0,3,0,29,0,104,0,12,0,116
FA18,KN,1-570,SPED,450,3,11,0,4,0,18,6,22,0,8,0,36
FA18,KN,1-570,SPED,461,0,27,0,5,0,32,0,81,0,15,0,96
FA18,KN,1-570,SPED,465,0,12,0,5,0,17,0,36,0,15,0,51
FA18,KN,1-570,SPED,470,0,26,0,4,0,30,0,78,0,12,0,90
FA18,KN,1-570,SPED,471,0,27,0,3,0,30,0,81,0,9,0,90
FA18,KN,1-570,SPED,510,0,0,0,0,3,3,0,0,0,0,12,12
FA18,KN,1-570,SPED,517,0,0,0,12,1,13,0,0,0,48,4,52
FA18,KN,1-570,SPED,524,0,0,0,8,0,8,0,0,0,26,0,26
FA18,KN,1-570,SPED,583,0,0,0,0,6,6,0,0,0,0,24,24
FA18,KN,1-570,SPED,590,0,0,0,3,14,17,0,0,0,6,28,34
FA18,KN,1-570,SPED,591,0,0,0,5,5,10,0,0,0,20,12,32
FA18,KN,1-570,SPED,592,0,0,0,0,4,4,0,0,0,0,16,16
FA18,KN,1-570,SPED,595,0,0,0,0,1,1,0,0,0,0,2,2
FA18,KN,1-570,SPED,599,0,0,0,0,8,8,0,0,0,0,45,45
FA18,KN,1-613,CI,199,3,10,0,0,0,13,6,20,0,0,0,26
FA18,KN,1-613,CI,210,13,8,0,0,0,21,39,24,0,0,0,63
FA18,KN,1-613,CI,402,0,29,0,0,0,29,0,87,0,0,0,87
FA18,KN,1-613,CI,403,0,49,0,10,0,59,0,147,0,30,0,177
FA18,KN,1-613,CI,405,12,53,0,5,0,70,36,159,0,15,0,210
FA18,KN,1-613,CI,406,0,95,0,3,0,98,0,285,0,9,0,294
FA18,KN,1-613,CI,410,3,21,0,0,0,24,9,63,0,0,0,72
FA18,KN,1-613,CI,415,34,19,0,5,0,58,102,57,0,15,0,174
FA18,KN,1-613,CI,421,0,13,0,5,0,18,0,39,0,15,0,54
FA18,KN,1-613,CI,422,3,11,0,2,0,16,9,33,0,6,0,48
FA18,KN,1-613,CI,430,12,52,0,5,0,69,36,156,0,15,0,207
FA18,KN,1-613,CI,433,6,30,0,16,3,55,18,90,0,64,12,184
FA18,KN,1-613,CI,438,1,5,0,3,2,11,3,15,0,11,7,36
FA18,KN,1-613,CI,446,4,8,0,4,0,16,12,24,0,16,0,52
FA18,KN,1-613,CI,450,12,53,0,5,0,70,36,159,0,15,0,210
FA18,KN,1-613,CI,452,0,95,0,3,0,98,0,285,0,9,0,294
FA18,KN,1-613,CI,465,3,11,0,2,0,16,9,33,0,6,0,48
FA18,KN,1-613,CI,467,3,21,0,0,0,24,9,63,0,0,0,72
FA18,KN,1-613,CI,471,3,21,0,1,0,25,9,63,0,4,0,76
FA18,KN,1-613,CI,476,0,111,0,3,0,114,0,333,0,9,0,342
FA18,KN,1-613,CI,477,1,9,0,0,0,10,4,36,0,0,0,40
FA18,KN,1-613,CI,482,2,7,0,2,1,12,6,21,0,8,4,39
FA18,KN,1-613,CI,499,1,1,0,2,4,8,3,3,0,8,16,30
FA18,KN,1-613,CI,507,0,0,0,11,3,14,0,0,0,44,12,56
FA18,KN,1-613,CI,519,0,0,0,0,9,9,0,0,0,0,36,36
FA18,KN,1-613,CI,522,0,0,0,11,1,12,0,0,0,44,4,48
FA18,KN,1-613,CI,530,0,0,0,8,1,9,0,0,0,32,4,36
FA18,KN,1-613,CI,547,0,0,0,4,4,8,0,0,0,16,16,32
FA18,KN,1-613,CI,548,0,0,0,17,0,17,0,0,0,34,0,34
FA18,KN,1-613,CI,550,0,1,0,5,31,37,0,4,0,20,124,148
FA18,KN,1-613,CI,552,0,0,0,2,9,11,0,0,0,8,36,44
FA18,KN,1-613,CI,570,0,0,0,1,3,4,0,0,0,4,12,16
FA18,KN,1-613,CI,587,0,0,0,10,2,12,0,0,0,40,8,48
FA18,KN,1-613,CI,590,0,0,0,1,10,11,0,0,0,2,20,22
FA18,KN,1-613,CI,591,0,0,0,0,8,8,0,0,0,0,48,48
FA18,KN,1-613,CI,595,0,0,0,3,6,9,0,0,0,10,22,32
FA18,KN,1-613,CI,599,0,0,0,0,22,22,0,0,0,0,168,168
FA18,KN,1-616,EPSY,200,3,17,0,0,0,20,3,17,0,0,0,20
FA18,KN,1-616,EPSY,201,179,77,0,3,0,259,537,231,0,9,0,777
FA18,KN,1-616,EPSY,202,64,19,0,0,0,83,192,57,0,0,0,249
FA18,KN,1-616,EPSY,220,60,54,0,0,0,114,180,162,0,0,0,342
FA18,KN,1-616,EPSY,395,7,10,0,0,0,17,13,19,0,0,0,32
FA18,KN,1-616,EPSY,400,1,6,0,4,1,12,3,18,0,10,2,33
FA18,KN,1-616,EPSY,401,3,11,0,6,0,20,9,33,0,22,0,64
FA18,KN,1-616,EPSY,404,1,4,0,3,1,9,3,12,0,11,4,30
FA18,KN,1-616,EPSY,420,6,44,0,1,2,53,24,176,0,4,8,212
FA18,KN,1-616,EPSY,430,4,22,0,3,1,30,12,66,0,12,4,94
FA18,KN,1-616,EPSY,470,0,0,0,0,3,3,0,0,0,0,12,12
FA18,KN,1-616,EPSY,480,1,17,0,7,25,50,4,68,0,28,100,200
FA18,KN,1-616,EPSY,485,0,50,0,11,0,61,0,150,0,43,0,193
FA18,KN,1-616,EPSY,490,0,4,0,5,0,9,0,12,0,20,0,32
FA18,KN,1-616,EPSY,511,0,0,0,0,9,9,0,0,0,0,36,36
FA18,KN,1-616,EPSY,520,0,0,0,0,4,4,0,0,0,0,16,16
FA18,KN,1-616,EPSY,555,0,3,0,8,7,18,0,12,0,32,28,72
FA18,KN,1-616,EPSY,556,0,0,0,0,1,1,0,0,0,0,4,4
FA18,KN,1-616,EPSY,580,0,0,0,9,38,47,0,0,0,36,152,188
FA18,KN,1-616,EPSY,582,0,0,0,1,12,13,0,0,0,4,48,52
FA18,KN,1-616,EPSY,585,0,0,0,2,10,12,0,0,0,8,40,48
FA18,KN,1-616,EPSY,589,0,0,0,5,19,24,0,0,0,20,76,96
FA18,KN,1-616,EPSY,590,0,0,0,6,38,44,0,0,0,18,101,119
FA18,KN,1-616,EPSY,591,0,0,0,0,1,1,0,0,0,0,4,4
