Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,KP,1-244,PHYS,100,420,6,0,1,0,427,840,12,0,2,0,854
FA18,KP,1-244,PHYS,101,73,312,0,0,0,385,365,"1,560.00",0,0,0,"1,925.00"
FA18,KP,1-244,PHYS,102,9,223,0,0,0,232,45,"1,115.00",0,0,0,"1,160.00"
FA18,KP,1-244,PHYS,110,125,14,0,0,0,139,125,14,0,0,0,139
FA18,KP,1-244,PHYS,211,688,72,0,0,0,760,"2,752.00",288,0,0,0,"3,040.00"
FA18,KP,1-244,PHYS,212,633,398,0,3,0,"1,034.00","2,532.00","1,592.00",0,12,0,"4,136.00"
FA18,KP,1-244,PHYS,213,143,364,0,2,0,509,286,728,0,4,0,"1,018.00"
FA18,KP,1-244,PHYS,214,120,344,0,2,0,466,240,688,0,4,0,932
FA18,KP,1-244,PHYS,222,9,6,0,0,0,15,9,6,0,0,0,15
FA18,KP,1-244,PHYS,225,61,87,0,0,0,148,122,174,0,0,0,296
FA18,KP,1-244,PHYS,298,4,17,0,0,0,21,8,34,0,0,0,42
FA18,KP,1-244,PHYS,325,21,121,0,0,0,142,63,363,0,0,0,426
FA18,KP,1-244,PHYS,326,4,50,0,0,2,56,12,150,0,0,6,168
FA18,KP,1-244,PHYS,398,0,30,0,0,0,30,0,81,0,0,0,81
FA18,KP,1-244,PHYS,401,1,37,0,0,0,38,3,111,0,0,0,114
FA18,KP,1-244,PHYS,402,1,36,0,2,1,40,4,143,0,6,3,156
FA18,KP,1-244,PHYS,403,0,26,0,0,0,26,0,130,0,0,0,130
FA18,KP,1-244,PHYS,404,0,24,0,0,0,24,0,120,0,0,0,120
FA18,KP,1-244,PHYS,419,0,23,0,0,2,25,0,69,0,0,8,77
FA18,KP,1-244,PHYS,420,4,12,0,0,1,17,8,24,0,0,2,34
FA18,KP,1-244,PHYS,427,3,35,0,2,12,52,12,140,0,8,48,208
FA18,KP,1-244,PHYS,435,7,104,0,1,0,112,21,312,0,3,0,336
FA18,KP,1-244,PHYS,436,5,49,0,1,4,59,15,147,0,3,12,177
FA18,KP,1-244,PHYS,460,5,36,0,2,8,51,20,144,0,8,32,204
FA18,KP,1-244,PHYS,485,1,54,0,0,0,55,3,162,0,0,0,165
FA18,KP,1-244,PHYS,486,4,72,0,3,8,87,16,288,0,12,32,348
FA18,KP,1-244,PHYS,487,2,46,0,0,5,53,8,184,0,0,20,212
FA18,KP,1-244,PHYS,496,2,15,0,0,0,17,6,45,0,0,0,51
FA18,KP,1-244,PHYS,497,1,17,0,0,3,21,2,32,0,0,12,46
FA18,KP,1-244,PHYS,498,4,31,0,2,8,45,15,110,0,8,31,164
FA18,KP,1-244,PHYS,505,0,3,0,1,10,14,0,12,0,4,40,56
FA18,KP,1-244,PHYS,508,1,2,0,1,24,28,4,8,0,4,96,112
FA18,KP,1-244,PHYS,510,0,0,0,1,11,12,0,0,0,4,44,48
FA18,KP,1-244,PHYS,540,0,1,0,0,9,10,0,4,0,0,36,40
FA18,KP,1-244,PHYS,561,0,0,0,0,6,6,0,0,0,0,24,24
FA18,KP,1-244,PHYS,570,0,2,0,0,15,17,0,8,0,0,60,68
FA18,KP,1-244,PHYS,580,0,6,0,0,34,40,0,24,0,0,136,160
FA18,KP,1-244,PHYS,582,0,1,0,1,35,37,0,4,0,4,140,148
FA18,KP,1-244,PHYS,596,0,0,0,1,41,42,0,0,0,1,41,42
FA18,KP,1-244,PHYS,597,0,1,0,1,148,150,0,3,0,4,"1,133.00","1,140.00"
FA18,KP,1-244,PHYS,598,0,0,0,0,28,28,0,0,0,0,56,56
FA18,KP,1-244,PHYS,599,0,0,0,1,80,81,0,0,0,8,722,730
FA18,KP,1-251,CEE,195,165,37,0,0,0,202,165,37,0,0,0,202
FA18,KP,1-251,CEE,201,70,67,0,0,0,137,210,201,0,0,0,411
FA18,KP,1-251,CEE,202,25,67,0,0,0,92,75,201,0,0,0,276
FA18,KP,1-251,CEE,300,0,86,0,0,0,86,0,344,0,0,0,344
FA18,KP,1-251,CEE,310,4,43,0,9,0,56,12,129,0,27,0,168
FA18,KP,1-251,CEE,320,8,92,0,8,0,108,24,276,0,24,0,324
FA18,KP,1-251,CEE,330,23,127,0,2,0,152,69,381,0,6,0,456
FA18,KP,1-251,CEE,340,2,38,0,2,0,42,6,114,0,6,0,126
FA18,KP,1-251,CEE,350,3,41,0,1,0,45,9,123,0,3,0,135
FA18,KP,1-251,CEE,360,0,82,0,2,0,84,0,246,0,6,0,252
FA18,KP,1-251,CEE,380,0,48,0,2,0,50,0,144,0,6,0,150
FA18,KP,1-251,CEE,398,14,6,0,2,0,22,28,12,0,4,0,44
FA18,KP,1-251,CEE,401,2,7,0,4,0,13,8,28,0,16,0,52
FA18,KP,1-251,CEE,405,0,8,0,10,3,21,0,24,0,39,12,75
FA18,KP,1-251,CEE,406,1,33,0,21,5,60,3,99,0,77,20,199
FA18,KP,1-251,CEE,408,1,14,0,21,0,36,4,42,0,73,0,119
FA18,KP,1-251,CEE,409,0,14,0,23,1,38,0,42,0,81,4,127
FA18,KP,1-251,CEE,416,1,15,0,20,0,36,3,45,0,76,0,124
FA18,KP,1-251,CEE,421,5,81,0,63,5,154,16,243,0,239,20,518
FA18,KP,1-251,CEE,434,0,27,0,19,4,50,0,81,0,57,12,150
FA18,KP,1-251,CEE,437,2,19,0,7,1,29,6,57,0,21,3,87
FA18,KP,1-251,CEE,442,0,2,0,27,1,30,0,8,0,108,4,120
FA18,KP,1-251,CEE,443,0,1,0,20,5,26,0,4,0,80,20,104
FA18,KP,1-251,CEE,444,0,1,0,17,4,22,0,4,0,68,16,88
FA18,KP,1-251,CEE,445,0,1,0,6,1,8,0,4,0,24,4,32
FA18,KP,1-251,CEE,446,0,7,0,6,3,16,0,28,0,24,12,64
FA18,KP,1-251,CEE,450,1,5,0,15,3,24,3,15,0,45,9,72
FA18,KP,1-251,CEE,451,0,2,0,7,1,10,0,6,0,21,3,30
FA18,KP,1-251,CEE,457,0,13,0,9,2,24,0,39,0,27,6,72
FA18,KP,1-251,CEE,458,0,13,0,4,0,17,0,52,0,16,0,68
FA18,KP,1-251,CEE,460,2,46,0,15,0,63,6,138,0,45,0,189
FA18,KP,1-251,CEE,461,3,62,0,1,0,66,9,186,0,3,0,198
FA18,KP,1-251,CEE,463,1,3,0,52,0,56,3,12,0,205,0,220
FA18,KP,1-251,CEE,465,1,26,0,0,0,27,3,78,0,0,0,81
FA18,KP,1-251,CEE,470,3,26,0,30,1,60,12,104,0,120,4,240
FA18,KP,1-251,CEE,471,0,1,0,56,2,59,0,4,0,221,8,233
FA18,KP,1-251,CEE,472,1,2,0,58,4,65,3,8,0,230,16,257
FA18,KP,1-251,CEE,483,0,4,0,6,0,10,0,16,0,24,0,40
FA18,KP,1-251,CEE,491,1,16,0,34,9,60,4,48,0,132,36,220
FA18,KP,1-251,CEE,493,3,15,0,30,2,50,12,60,0,120,8,200
FA18,KP,1-251,CEE,495,0,139,0,2,0,141,0,556,0,8,0,564
FA18,KP,1-251,CEE,497,1,6,0,1,0,8,4,15,0,2,0,21
FA18,KP,1-251,CEE,498,1,37,0,148,5,191,4,117,0,582,20,723
FA18,KP,1-251,CEE,509,0,0,0,23,5,28,0,0,0,92,20,112
FA18,KP,1-251,CEE,524,0,0,0,59,0,59,0,0,0,236,0,236
FA18,KP,1-251,CEE,525,2,0,0,64,4,70,8,0,0,256,16,280
FA18,KP,1-251,CEE,538,0,0,0,8,1,9,0,0,0,32,4,36
FA18,KP,1-251,CEE,540,0,0,0,3,3,6,0,0,0,12,12,24
FA18,KP,1-251,CEE,555,0,0,0,2,7,9,0,0,0,8,28,36
